Link,Tags,Job Title,Company,Location,Job Type,Job Description
https://startup.jobs/data-science-intern-open-lending-4555267,Data Science,Data Science Intern,Open Lending ,"Austin, United States",Part-Time,"

Overview
Open Lending is seeking a Data Science Intern for the fall of 2023. The Data Science Intern will assist our Lead Data Scientist in performing data analytics, predictive modeling, and machine learning ML to support key business objectives for our organization. As part of the internship, you will be assigned a specific project and will have the opportunity to manage the project from start-to-finish and offer a meaningful end product that will help the company meet an important goal for 2023. The ideal candidate should have a passion for working with data and a strong enthusiasm for learning. What youll do Gather, prepare, and analyze data Develop and train ML and predictive models Conduct data studies and document results Prepare presentations and reports Participate in Data team meetings and daily huddles Become familiar with Open Lendings Lenders Protection platform, Data Warehouse, and Data Lake Develop technical skills working with data science tools such as Jupyter Notebook, Azure ML Studio, R Studio, and Azure Databricks 
Skills youll need
 Pursuing a degree in Mathematics, Statistics, Business Analytics, Information Technology, or related field Anticipated graduation date in Fall 2023 or Spring 2024 Previous experience working on Data Science projects Experience with Python scripting Experience with relational databases and SQL development Familiarity with ML algorithms such as Regression, Decision Trees, Neural Networks, and Random Forest Strong analytical and problem-solving skills Excellent verbal and written communications skills Strong enthusiasm for learning 

"
https://startup.jobs/data-science-developer-iii-remote-agiloft-4550653,"Data Science,Developer",Data Science Developer III (Remote),Agiloft ,,Contractor,"

Agiloft was named a Leader in the 2022 Gartner Magic Quadrant for Contract Life Cycle Management for the third year in a row. Contract Lifecycle Management CLM is one of the fastest-growing areas of enterprise sales, with a TAM projected to climb from 2B to 7B in the next 5 years.  
 
The Agiloft Contract Lifecycle Management platform has won dozens of awards, including the Editors Choice award from PC Mag, for the past five years in a row.  
 
Agiloft has a highly differentiated value proposition which is uniquely appealing to enterprises pre-built applications with a deeply configurable, no-code platform for integrated Business Process Management throughout an organization. 
  
Agiloft is pioneering the applied use of Artificial Intelligence to enable next-generation business commerce at organizations ranging from small enterprises to U.S. government agencies and Fortune 100 companies.  
 
Additionally, 99 of employees who commented on Glassdoor would recommend Agiloft to a friend.

Postion Overview

As the Data Science Developer III, you will be responsible for diving into the nuances of Agilofts CLM data structures and customer information needs to design and build machine learning solutions that help generate real-world predictions for complex information retrieval problems such as understanding the content of legal contracts and placing it in context with business processes and external events. Youll be working closely with both Full Stack Engineers and other Machine Learning Engineers to bridge the gaps between how we capture data and how our clients utilize it and build models that can deliver value to end users. Together with your team you will be responsible for the full cycle of fulfillment-related Machine Learning model development design, prototyping, training, testing, releasing, observing, and optimizing.
Job Responsibilities

Design and prototype solutions to real world data problems with state-of-the-art algorithms and machine learning models.
In your designs consider requirements on accuracy, speed, data privacy and other constraints.
Present your designs and prototypes to business stakeholders and obtain approval for implementation.
Collaborate with members of the project team on the planning of product projects that solve data problems and ensure project execution in line with agreed goals for the data science and machine learning engineering team.
Develop with an eye on quality, using performance monitoring tooling, automated and manual testing, and observability tools to verify the correctness and quality of your work.
Establish and maintain monitoring and alerting systems around Machine Learning systems in production.
Mentor junior data scientists and machine learning engineers.
Other duties as assigned.

Required Qualifications

Bachelors or higher degree in data science, software engineering, MSc in mathematics, or similar.
At least 7 years of experience working on complex data science problems.
At least 5 years of hands-on experience with the development, deployment, and operation of machine learning models and data analysis algorithms in enterprise-grad production environments.
At least 3 years of experience leading teams in data science projects.
At least 3 years of experience building machine learning services with public cloud providers, such as Google Cloud Platform, Amazon Web Services, or Microsoft Azure
At least 2 years of experience with the design, prototyping, and deployment of machine learning workloads for natural language processing.
At least 2 years of experience working with vector databases such as Pinecone or Milvus.
Experience working with production systems that integrate Machine Learning models at scale.
You are comfortable collaborating with Product Managers to ensure that youre delivering impactful product features.
Successful track record of collaboration with distributed teams of both technical and non-technical individuals
Excellent communication skills and you are enthusiastic and forward-looking.


Ensuring a diverse and inclusive workplace is our priority. We are committed to an environment of acceptance where you are free to bring your full self to work. All employment decisions at Agiloft are based on business needs, job requirements, and individual qualifications without regard to race, color, religion or belief, national or social ethnic origin, sex, age, sexual orientation, gender identity andor expression, parental status, marital status, Veteran status, or any other status protected by the laws or regulations in the locations where we operate. If you have a need that requires accommodation during the recruiting process, please let us know by contacting Director, Talent Acquisition, Brad Toothman at brad.toothmanagiloft.com.
 
Applicants from underrepresented groups such as minorities, veterans, or individuals with disabilities encouraged to apply.

"
https://startup.jobs/data-science-associate-black-swan-data-ltd-4544822,Data Science,Data Science Associate,Black Swan Data Ltd ,"Szeged, Hungary",,"

ABOUT BLACK SWAN DATA 
In a turbulent and fast-changing marketplace, the old world of traditional consumer research is no longer enough. Where there were slow and pre-emptive questionnaires and surveys, now theres big data, machine learning and predictive analytics. For some, its unknown territory. For Black Swan Data, its unprecedented possibilities.   
Black Swan Data is on a mission to revolutionise Insights  Innovation through the power of Social Prediction. Using sophisticated data science and AI techniques, we unlock social datas potential to understand, connect and predict consumer behaviour more accurately and further ahead than before.    
Our TRENDSCOPE SaaS platform enables brands to apply Social Prediction to their business and deliver faster, better, more successful new product innovation launches. It puts the power of trend prediction at our users fingertips and is central to how we turn trend intelligence into a competitive advantage for global giants like PepsiCo, Johnson  Johnson, PG, Danone, and Coty.    
Were fast movers. Since 2011, weve spread our wings across the UK, Hungary, USA, and South Africa. Today our team of around 160 Swans and counting includes data scientists, developers, insights consultants, analysts, designers, engineers, and marketeers.   
But first, were entrepreneurs and champions of change who thrive on moving fast and breaking new ground. In 2015 we were awarded the Sunday Times 1 Fastest Growing Start-Up. In 2016 we were named the UKs Fastest Growing Exporter. And in both 2017 and 2018 we ranked high in the Financial Times 1000 Europes Fastest Growing Companies. Since weve been recognised by Deloitte Fast 50 and the London Stock Exchange for our cutting-edge technology and innovative approach.    
Now is a great opportunity to join our rapidly growing data and technology SaaS business which is led by an experienced and inspiring management team. Were passionate about what we do and committed to disrupt and drive industry change, so if youre an enthusiastic team player and go-getter we want to hear from you.  
Data Science Associate 
THE ROLE 
An exciting opportunity for a Data Science Associate has opened at Black Swan Data. As a Data Science Associate, you will be responsible for handling and manipulating data, building and improving machine learned models, and producing meaningful analysis and high-quality code. During your journey you will get exposure to different research and development projects within a cross functional team of data scientists and data engineers. 
What you will be doing and learning 


Working primarily with social media text andor time series data to provide creative data science solutions for our core Trendscope product line.  


Building and improving machine learned models and data pipelines, working quickly and accurately using machine learning and statistics libraries, and configuring Black Swan Data software when required. 


Collating and manipulating business data using an accurate and methodical approach to ensure high data quality and integrity. 




Analysing business problems and developing data-driven solutions.  


Ensuring that the software solutions developed are maintainable, robust, and accurate via collaborating with cross functional technical teams to address data-related issues.  


Working closely with engineering to deploy data solutions and productionise modelling prototypes. 


Picking up different tasks as required, ranging from green field research and development projects to proposing iterative methodological enhancements to existing internal data products whenever necessary. 


Gain experience on how to think and act as a professional data scientist in real-world situations. 




Building a good understanding of internal products, methodologies, frameworks, and tools. 


  
KEY PERFORMANCE INDICATORS  
Personal attributes 


Showing tenacity in problem solving, maintaining drive and enthusiasm to achieve results. 




Highly creative and comfortable working with non-technical stakeholders. 


Commercial problem-solving mindset, effectively understanding what drives value to our clients. 


Being a team player, willing to support others and engage with engineering teams.  


Being organised, and comfortable in an agile working environment.  


Providing daily progress updates, regularly documenting achieved results. 


General Requirements 


Degree level background in Data Science, Machine Learning, Computer Science, or a related field is advantageous. 


Understanding of data analytics, machine learning and statistical modelling approaches. 


Delivering clear and effective presentations of data analysis results. 


Ensuring that deliverables are produced promptly to the timings specified by senior members of the team and to a high standard. 




Strong verbal and written communication to effectively present and document the delivered work. 


Making appropriate use of networks to get the job done in the most effective and resourceful way. 


 
Technical proficiencies needed are 


Effective programming in Python, exposure to Scala development is advantageous. 




Experienced in using notebook development environments Databricks, Jupiter or similar. 


Experienced in using data science related Python libraries e.g., Pandas, scikit-learn, NumPy. 


Experienced in using data visualisation related Python libraries e.g., matplotlib, Plotly Express, Altair. 


Experienced in working with SQL and NoSQL databases. 


Experienced in data manipulation, cleansing, and sense checking. 




Experienced in using distributed version control systems, specifically git. 


Exposure to natural language processing, specifically large language models and generative AI approaches is advantageous.  


Exposure to working with deep learning models and the Hugging Face modelling ecosystem is advantageous. 


Exposure to cloud-based product development is advantageous preferably AWS. 


Exposure to distributed computing on Apache Spark is advantageous. 




Effective use of standard office tools Excel, Word, and PowerPoint. 


 
  
WHAT MAKES A SWAN?   
We want people fanatical about creating innovative solutions inspired by data. We know Black Swans DNA is different, its what helps us find new perspectives on our clients problems. Working in a fast paced, energized environment, our bar is set high, and an ability to build long lasting partnerships both internally and externally is vital.   
We have made a difference at our core and that is embedded in our values 


We believe in long-term partnerships through transparency and honesty.   


We believe in leaving the world in a better place than we found it.   


We believe anyone can achieve great things. We do not put people in boxes.   


We listen more than we talk.   




We think 10 crazy is just about right!   


Most importantly, and because you spend 60 of your waking time at work, we believe you should enjoy it.   


 
We want to positively change the future through technology and the power of prediction.  
How about you?   

"
https://startup.jobs/data-science-senior-data-scientist-model-governance-paytmlabs-4544191,"Data Science,Senior",Data Science - Senior Data Scientist ( Model Governance),Paytm Labs ,"Noida, India",,"

Data Science  Senior Data Scientist  Model Governance 

About Us 

Paytm is Indias leading digital payments and financial services company, which is focused on driving consumers and merchants to its platform by offering them a variety of payment use cases. Paytm provides consumers with services like utility payments and money transfers, while empowering them to pay via Paytm Payment Instruments PPI like Paytm Wallet, Paytm UPI, Paytm Payments Bank Netbanking, Paytm FASTag and Paytm Postpaid - Buy Now, Pay Later. To merchants, Paytm offers acquiring devices like Soundbox, EDC, QR and Payment Gateway where payment aggregation is done through PPI and also other banks financial instruments. To further enhance merchants business, Paytm offers merchants commerce services through advertising and Paytm Mini app store. Operating on this platform leverage, the company then offers credit services such as merchant loans, personal loans and BNPL, sourced by its financial partners. 

About the Role 
We are seeking a highly motivated and experienced professional with expertise in credit lending model development, validation, and monitoring. The ideal candidate will be an expert in Python, PySpark, and SQL, with preferred expertise in AWS services such as EMR and S3.


Requirements 
3-6 years of experience in credit risk model development, validation, and monitoring.
Expert proficiency in one of the programming languages PythonPySpark for data manipulation, analysis, and modeling tasks.
Working knowledge in SQL.
Basic understanding of AWS services, particularly EMR and S3 for data processing and storage will be preferred.
Strong understanding of statistical analysis and machine learning algorithms.
Knowledge of credit risk assessment and scoring methodologies.
Excellent problem-solving and analytical skills.
Effective communication and collaboration abilities for working within cross-functional teams.
Demonstrated ability to take initiatives and work independently in a proactive manner.


Be a brand ambassador for Paytm  Stay Hungry, Stay Humble, Stay Relevant! 

ExpectationsResponsibilities
Collaborate with stakeholders to support credit lending model development, validation, and monitoring initiatives.
Take initiatives in leading and assisting in the validation of credit lending models, ensuring compliance with regulatory guidelines and predefined metrics.
Implement governance controls to maintain compliance with internal and external policies.
Proactively contribute to the definition and implementation of data-driven strategies for credit lending.
Monitor and assess model performance, accuracy, and effectiveness on an ongoing basis.
Conduct exploratory data analysis and assist in preprocessing large datasets for model development.
Work closely with data scientists to interpret and communicate model results, providing actionable insights and recommendations to stakeholders.
Stay updated with the latest developments in data science, credit risk modeling techniques, and industry best practices.
Take proactive measures to document all aspects of model development, validation, monitoring, and governance control processes.
Smart thinking and clear communication

Why join us 
Because you get an opportunity to make a difference, and have a great time doing that.
You are challenged and encouraged here to do stuff that is meaningful for you and for those we serve. You should work with us if you think seriously about what technology can do for people.
We are successful, and our successes are rooted in our peoples collective energy and unwavering focus on the customer, and thats how it will always be.

Compensation
If you are the right fit, we believe in creating wealth for you with enviable 500 mn registered users, 21 mn merchants and depth of data in our ecosystem, we are in a unique position to democratize credit for deserving consumers  merchants  and we are committed to it. 
Indias largest digital lending story is brewing here. Its your opportunity to be a part of the story!


"
https://startup.jobs/data-science-lead-giskard-4538910,Data Science,Data Science lead,Giskard ,"Paris, France",Full-Time,"

Giskard defends the vision of a Responsible AI that serves the economic performance of companies while respecting the rights of citizens. To embody this mission, Giskard enables AI professionals Data Scientists and Machine Learning Engineers to evaluate  test the quality of ML models.
We are building the first collaborative  open-source Quality Assurance platform for all ML models. We already empower customers with two solutions
  The Giskard Python library helps Data Scientists detect hidden vulnerabilities in ML models. It makes the AI development process more efficient, by automating the identification of risks of biases, performance issues and errors.To try it, see this documentation.   The Giskard server helps ML Engineers debug  monitor models, share dashboards, and collaborate  It makes the deployment of new ML models safer and more efficient, by providing ready-made monitoring dashboards, catalogs of re-usable testing components, and ML debugging interfaces. Install it following this documentation.   
We recently raised our first round of 1.5 million euros, led by Elaia, with participation from Bessemer Venture Partners and notable angel investors. To read more about this fundraising and how it will accelerate our growth, you can read our announcement.
We also received a strategic investment from the European Commission to build a SaaS platform to automate compliance with the upcoming EU AI regulation. You can read more here.
As a Data scientist lead, you will
  Help customers use our product to make their ML models safer, more ethical  robust.  Run technical evaluations with potentiel customers, including AI Quality trainings  workshops.  Educate the ML community on the benefits of our tool, including writing articles and talking to conferences.  Build internal data pipelines  ML models to help run our operations  growth.  Work with our RD team to improve our product and extend it to new ML use cases. 
Requirements
For now, we are hiring only people located around Paris, France - or willing to relocate.
 A minimum of 5 years experience in Data Science  Machine Learning. A proven track record of developing and deploying data pipelines  ML models to production. Strong proficiency in the Python data science stack, especially with pandas, scikit-learn, tensorflow, torch, and transformers. Familiarity with software engineering best practices, including git, writing tests, agile methodologies, and CICD. Ability to distill complex Data  AI concepts into understandable terms for a diverse audience, including business experts, IT professionals, and decision-makers. Strong belief in Quality, Safety  Ethics in AI development. Experience in managing or coaching junior team members. Outstanding communication skills in both English and French, in written and verbal form. Comfortable with 20 to 40 travel. Demonstrated project management skills within large organizations. Quick to learn and deliver, while being a collaborative team player. Bonus Experience in Data Science  AI consulting. Bonus Experience in early-stage startups 50 employees. 
About you
 Passionate about building robust solutions to real-life problems Driven by customer needs  outstanding user experience Hungry for learning new skills every day Conscious about technologys role in our society Empathetic team player 
Recruitment process
You can get an offer with salary  equity in 3 weeks 
  Fit interview 15 minutes  Tech exercise 10 days to complete  Tech interview 45 minutes  Reference calls 2 persons  Final interview 45 minutes 
Benefits
We value diversity, equity, and inclusivity. Giskard is an equal-opportunity employer. We do not discriminate based on race, religion, color, origin, gender, sexual orientation, age, marital status, veteran, or disability status.
We are remote-flex. We value productivity and worklife balance. You can adopt a hybrid work schedule where you come to the office 1-3 days  week. You can also work from other regionscountries on an occasional basis - just let us know beforehand.
We offer a remote office kit to all full-time employees a powerful MacBook computer, external monitor, keyboard, mouse, etc. We also offer the best health insurance plan in France, Alan Blue.
All full-time employees are granted a significant equity package. We want to include everyone in the adventure and make it a collective win.
Salary fixed salary between 50 000  and 75 000   year brut  0.5 - 1.5 of equity

"
https://startup.jobs/data-science-and-analytics-manager-streaming-product-netflix-4535523,"Stats,Data Science,Exec",Data Science and Analytics Manager - Streaming Product,Netflix ,,Full-Time,"

Streaming entertainment is at the heart of Netflix. Members want a seamless, immersive Netflix experience, and we deliver it with a symphony of systems working together behind the scenes. Content files must be encoded, distributed to our content delivery network, then adaptively streamed by the wide range of devices our members use to watch the content they love. Our data science and analytics team takes a holistic approach to measuring and improving these systems and their ultimate impact on Netflix members. As we add games, live content, and ads into the Netflix product, were asking new questions about how the streaming product should work and how to best serve our members. Our end goal is to drive the quality of the entertainment experience higher and higher for each of our global members. 

What youll do
Were looking for an accomplished data science and analytics leader for the core streaming and encoding business areas. Youll lead a diverse team of talented, senior individual contributors who are experts in the fields of analytics, experimentation, and machine learning. Youll partner with engineering teams to optimize the Netflix streaming product with an eye toward scaling analytics, access to insights, innovating on methodologies, and finding new opportunities to apply high-impact science and analytics to Netflix challenges. Experimentation is a critical part of our DNA, so youll contribute to smarter, faster, easier friendly ways to experiment. 

You have

Experience hiring and leading high-caliber, data-focused teams with diverse technical strengths
Experience creating and fostering an inclusive team culture
Experience partnering with technical engineering or product teams 
Demonstrated strength for applying statistics and experimentation to solve problems
Strength in independently finding opportunities and executing on science and analytics challenges for maximum business impact 


Netflix culture
Netflixs culture is an integral part of what makes us successful, and we approach diversity and inclusion seriously and thoughtfully. We are an equal opportunity employer and celebrate diversity, recognizing that bringing together different perspectives and backgrounds helps build stronger teams. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

At Netflix, we carefully consider a wide range of compensation factors to determine your personal top of market. We rely on market indicators to determine compensation and consider your specific job, skills, and experience to get it right. These considerations can cause your compensation to vary and will also be dependent on your location. 


The overall market range for roles in this area of Netflix is typically 310,000 - 1,200,000.


This market range is based on total compensation vs. only base salary, which is in line with our compensation philosophy. Netflix is a unique culture and environment. Learn more here. 


"
https://startup.jobs/data-science-manager-merchant-intelligence-extend-2-4534235,"Data Science,Exec","Data Science Manager, Merchant Intelligence",Extend ,,,"


About Extend
Extend is modernizing the 100 billion-per-year protection plan industry using cutting-edge technology and top-notch customer service. 
Our technology-forward omnichannel and API-first solution allows any merchant to offer protection plans, both online and in store, while also providing a merchants end customers with a vastly improved and modern support experience that eliminates many of the issues customers face today with legacy underwriters. More recently, Extend also launched a shipping protection solution, covering consumers in the case of lost, damaged or stolen packages. This is further expanding the companys addressable market and value creation for merchants.
We are a venture-backed startup in downtown San Francisco led by founders who have previously had multiple successful exits. Extend simplifies the technology stack for the product and shipping protection industries.

 
About the Role
This role is responsible for the best-in-class client consulting services and delivering good quality merchant optimization strategies to drive incremental revenue
 
What Youll Be Doing

Lead a team of data scientists to optimize the companys performance, driven incremental revenue, and deepen our existing merchant relationship with identified constraints
Lead, manage, and develop analytics roadmap that enables margin improvement and identify and prioritize merchant expansion opportunities to drive business and revenue growth
Partner with merchant success team, program team, and other XFN partners to show the value that Extend delivers to merchants and why we are the best in the industry, including building proactively detecting pricing and plan optimization opportunities and impact analysis.
Detect anomalies in merchant performance, identify the root cause of variances between actual revenue metrics and those from finance forecast, and propose swift actions for resolution

Lead all aspects of development of data requirements for client-facing performance reporting, dashboards, and insights. Deliver exec-facing and external-facing presentations

Be a strategic thought partner to the leadership team and collaborate with cross functional stakeholders to execute on both our short- and long-term analytics roadmap
Scale up our impact by recruiting, interviewing, and hiring and developing high-caliber analytics professionals to run our client insights function efficiently
Coach and drive a team that yields high quality outputs and unblock growth while maintaining an optimal balance between velocity and rigor

 
What Were Looking For

5 years of industry experience ideally as an client-facing analyticsdata science professional 
1 years of team management experience
Excellent written and oral communication skills and the capability to drive cross-functional requirements with revenue, product and engineering teams
Experience with BI tools, and strong skills in SQL. Working knowledge of at least one programming language, such as Python or R.
Track record of success in delivering results and an ability to work through ambiguity
Ability to see around corners, diagnosing and treating issues before they boil over
Experience working as part of a high-performing interconnected teams
Willingness to roll up your sleeves and fix problems in a hands-on manner when needed
Proven capabilities in evaluating gaps weaknesses and recommend impactful suggestions
Strong academic credentials with a masters degree in statistics, mathematics, computer science, or other quantitative areas of study preferred
Experience leading complex operational and strategic initiatives
Experience leading change in an established high-tech or finance company is a plus
Empathy and humility

 

Life at Extend

Working with a great team from diverse backgrounds in a collaborative and supportive environment.
Competitive salary based on experience, with full medical and dental  vision benefits.
Stock in an early-stage startup growing quickly.
Very generous, flexible paid time off policy.
401k with Financial Guidance from Morgan Stanley.
Remote-Friendly 

 
 
 


"
https://startup.jobs/data-science-manager-sales-insights-tooling-spotify-4532376,"Exec,Sales,Data Science","Data Science Manager, Sales Insights & Tooling",Spotify ,"New York, United States",Full-Time,"

At Spotify Advertising, our mission is to build the next generation advertising platform for audio which can scale the freemium experience for hundreds of millions of fans and tens of thousands of advertisers. This scale brings unique challenges as well as tremendous opportunities to define the product for our business. 

The Strategic Economics Research Solutions team is looking for an experienced insights manager for data science in Spotify Advertising. We use the science of Economics and Data Science to shape strategy and products. We deliver foundational strategic research and build scalable sales tools.

In this role, you will manage a team that builds tools and insights for our pre and post sales processes in advertising. You will join a centralized research team of data scientists and PhD economists to build novel tools and research. If this sounds exciting, please apply!
What Youll Do

Lead sales tooling and insights team in Spotify Advertising
Deliver on challenging large-scale problems with complexity and ambiguity
Write code Python, R, SQL, etc. to obtain, manipulate, and analyze large data
Work closely cross-functionally with sales, data engineers, economists, and engineers
Build, scale, and maintain metrics, dashboards, and sales tools across many users and functions
Communicate and support data-driven decision making to key partners at the Director, VP, and Executive levels

Who You Are

5 years of experience in an analytics andor data science role, with either direct people manager or extensive mentorship experience
Strong analytical skills, including analysis and modeling of big data using SQL, Python andor R, statistics, AB testing, and experimental design required
Experience building data visualizations and dashboards e.g., Tableau or similar BI solution
Effective at building strong, influential relationships with colleagues and partners, with demonstrated success in delivering impactful insights to executives

Where Youll Be

We are a distributed workforce enabling our band members to find a work mode that is best for them!
Where in the world? For this role, it can be within the Americas region in which we have a work location and is within working hours.
Working hours? We operate within the Eastern Time time zone for collaboration. 
Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here.



The United States base range for this position is 134,235 - 191,765 plus equity. The benefits available for this position include health insurance, six month paid parental leave, 401k retirement plan, 23 paid days off, 13 paid flexible holidays

Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.

"
https://startup.jobs/data-science-architect-google-cloud-presales-remote-role-in-usa-rackspace-4528370,"Architecture,Cloud,Data Science",Data Science Architect – Google Cloud - Presales (Remote role in USA),Rackspace ,"San Antonio, United States",Full-Time,"

In this role you will be helping to grow the Rackspace Cloud data practice.  You will be the expert in the region and support the sales of our data projects on Google Cloud.  Our Presales Data Architects are experienced technologists with technical depth and breadth, along with strong interpersonal skills. In this role, you will work directly with our sales team to propose solutions to customers to achieve business outcomes using Google Cloud. 

This is a solutions pre-sales role that places significant emphasis on consultative engagements with a wide range of customer stakeholders, Business Owners, Business Analytics, Data Engineering teams, Application Development, End Users and Management teams.

Successful candidates will be adept at evangelizing the Rackspace Data Services value proposition  across Professional Services and Managed Services; aligning it to each unique set of customer challenges and articulating the business benefits that can be delivered.

A key aspect of the role is to engage with customers early in their transformation journey to establish Rackspace credentials as a partner that can help assess, plan and execute the required data transformation or modernization.

You Will

This is client facing, pre-sales technologist that works with designated accounts and acts as a technical advocate for Rackspace clients. 
You are responsible for understanding clients business requirements as they pertain to Data solutions, qualifying opportunities and creating designs that match the requirements with appropriate products, managed and professional services.
Is considered a thought leader and develops IP  collateral for data and analytics.
Sells and positions implementation and advisory services primarily in their assigned LOB, but also understands and advises clients on where other strategic and advisory services fit their needs.
Client Facing Sales Support  Works with sales account team, interfacing directly with the Rackspace prospects and customers.
Builds trusted advisor relationships, understanding clients business challenges and proposing solutions.
Develops High Level Designs and Architectures  Creates and documents architectures that address client business problems which can be used to ensure a smooth transition from presales to delivery. 
Create Proposals  Develop proposals, SOWs Statements Of Work, business cases and RFP responses, 
Sales Planning  Work with management and sales teams to develop account prioritization and support strategies that will ensure a long-term trusted relationship status.
Partner Relationship Management  Develop healthy and trusted relationships with key partners in the geography.
Intellectual Property Development  Contribute to the development of Rackspace intellectual property and industry recognition white papers, speaking engagements etc.
Administrative Overhead  Respond to email, phone calls, complete timesheets in a timely manner, expense reports and status reports as required Administrative Overhead.
Training  Develop and execute a professional plan that will enhance skills.
Contribute to sales process improvement, including developing knowledge bases, creating sales tools, and mentoring other Solutions Architects

Technical Requirements

Has experience with traditional, as well as modern Machine LearningStatistical techniques, including Regression, Classification, Ensemble Methods, Deep Learning
Communicate complex models and analysis in a clear and precise manner coupled with actionable conclusions and recommendations.
You have strong problem solving, analytic, decision-making capabilities and excellent communication with interpersonal skills.
You have hands-on experience with Python, PySpark, SQL and the ability to write reusable and efficient code to automate machine learning pipeline and data processes.
You have experience with deep learning library like TensorFlow andor PyTorch as well as experience with Spark andor Hadoop.
Have strong knowledge of Statistics, Machine Learning, Deep Learning and NLPNLU.
You bring strong engineering mindset and exposure to software engineering principles, Agile methodologies.
5 years of experience as a data scientist and have applied industry experience in NLPNLU, Forecasting and Anomaly detection solution development. 

Other Requirements

Highly motivated self-starter and team player and demonstrated success in prior roles.
Track record of success working through technical challenges within enterprise organizations
Ability to prioritize deals, training, and initiatives through highly effective time management.
Excellent problem solving, analytical, presentation, and whiteboarding skills.
Track record of success dealing with ambiguity internal and external and working collaboratively with other departments and organizations to solve challenging problems.
Strong knowledge of technology and industry trends that affect data analytics decisions for enterprise organizations.

Education

Bachelors degree in Engineering, Computer Science, Information Systems, or Business required
Experience may substitute for the degree requirement at a rate of 3 years experience for 1 year of education.
High school diploma or equivalent required

Sponsorship
This role is not sponsorship eligible

The following information is required by the Colorado Equal Pay Transparency Act and applies only to individuals working in the state of Colorado. The anticipated starting pay range of Colorado applicants for this role is 117,000-188,500.  

Actual compensation is influenced by a wide array of factors including but not limited to skill set, level of experience, licenses and certifications, and specific work location. Information on Benefits offered.

LI-VM1, LI-Remote

About Rackspace Technology
We are the multicloud solutions experts. We combine our expertise with the worlds leading technologies  across applications, data and security  to deliver end-to-end solutions. We have a proven record of advising customers based on their business challenges, designing solutions that scale, building and managing those solutions, and optimizing returns into the future. Named a best place to work, year after year according to Fortune, Forbes and Glassdoor, we attract and develop world-class talent. Join us on our mission to embrace technology, empower customers and deliver the future.
 
More on Rackspace Technology
Though were all different, Rackers thrive through our connection to a central goal to be a valued member of a winning team on an inspiring mission. We bring our whole selves to work every day. And we embrace the notion that unique perspectives fuel innovation and enable us to best serve our customers and communities around the globe. We welcome you to apply today and want you to know that we are committed to offering equal employment opportunity without regard to age, color, disability, gender reassignment or identity or expression, genetic information, marital or civil partner status, pregnancy or maternity status, military or veteran status, nationality, ethnic or national origin, race, religion or belief, sexual orientation, or any legally protected characteristic. If you have a disability or special need that requires accommodation, please let us know.
 

"
https://startup.jobs/data-science-trainee-rackspace-4528369,Data Science,DATA SCIENCE - TRAINEE,Rackspace ,,,"


         To develop analytical models for insight generation that improves business decision making.


         Responsible for experimenting with and implementing machine learning techniques on internalexternal customer projects.


         Responsible for learning new data science techniquesprogramming languages and exploring their viability on current projects.


         Will contribute to data science team discussions, providing insight on current approaches and methods,


         Follows established MLOps practices in software development.


         Data science model selection and implementation.


         Working independently while collaborating well within the team.


         Have worked autonomously and delivered results on schedule.



Degree in Management Information Systems MIS, Data ScienceAnalytics, Computer Science, Statistics andor equivalent formal training
Proficient with machine learning and statistics
Knowledge in classification random forest, logistic regression, regression linear, XGBoost and clustering k-means
Software development experience
Proficient in PythonRSAS, SQL, Data Visualization e.g. Tableau or Power BI, deep learning frameworks, Spark
Excellent communication skills
Proficient with cloud computing in environments such are AWS, Google Cloud, Microsoft Azure
Participated in numerous data science projects.
Utilized several data science methodologies.
Attention to detail
Multi-tasking
Strong analytical skills



About Rackspace Technology
We are the multicloud solutions experts. We combine our expertise with the worlds leading technologies  across applications, data and security  to deliver end-to-end solutions. We have a proven record of advising customers based on their business challenges, designing solutions that scale, building and managing those solutions, and optimizing returns into the future. Named a best place to work, year after year according to Fortune, Forbes and Glassdoor, we attract and develop world-class talent. Join us on our mission to embrace technology, empower customers and deliver the future.
 
 
More on Rackspace Technology
Though were all different, Rackers thrive through our connection to a central goal to be a valued member of a winning team on an inspiring mission. We bring our whole selves to work every day. And we embrace the notion that unique perspectives fuel innovation and enable us to best serve our customers and communities around the globe. We welcome you to apply today and want you to know that we are committed to offering equal employment opportunity without regard to age, color, disability, gender reassignment or identity or expression, genetic information, marital or civil partner status, pregnancy or maternity status, military or veteran status, nationality, ethnic or national origin, race, religion or belief, sexual orientation, or any legally protected characteristic. If you have a disability or special need that requires accommodation, please let us know.

"
