Link,Tags,Job Title,Company,Location,Job Type,Job Description
https://startup.jobs/full-stack-developer-bunk-4492026,"Developer,Full Stack",Full Stack Developer,Bunk ,,Full-Time,"

We are a Bristol-based product company developing a SaaS property managing platform. We are looking for a full-stack developer to join our team full-time.

Technical stack
 Typescript
 Angular 8-14
 NodeJS
 Firebase
 Firestore
 ExpressJS
 Jest

Must also have strong experience of working with Git in a team environment PR, code reviews, Branching etc and working with external libraries.

Should enjoy writing new and refactoring old code to a high standard, with clear separation of concerns and understandable naming conventions.

Most importantly, were looking for someone who really enjoys coding and building things.
Basic requirements for the candidate

 Candidates dont need a computer science degree, but must have at least 3 years of experience coding professionally.
 In-time work delivery.

The candidates journey contains three steps
1. initial cv screen
2. 20-30 min entry call with PM
3. 30-40 min tech interview with CTO4. offer

Please fill free to send your CV to the email address attached
hellogobunk.co.uk

"
https://startup.jobs/founding-full-stack-software-engineer-hypertune-4538661,"Engineer,Full Stack,Developer",Founding Full Stack Software Engineer,Hypertune ,"London, United Kingdom",Full-Time,"

Hypertune is an open-source, type-safe code configuration platform. It can be used for feature flags, AB testing and AI-powered optimization. It can also be used for configuring and optimizing in-app copy, pricing plans, business rules, etc.At the core of Hypertune is a visual, functional, statically-typed, cross-platform, open-source programming language with first-class citizens for analytics, AB testing and ML. Its designed for code configuration but has broader possible applications.Our UI lets users define their configuration logic in this language and our SDKs act as interpreters, evaluating the logic locally on clients for zero latency.See more at httpswww.hypertune.com and httpsdocs.hypertune.comAs a founding engineer, youll play a crucial role in shaping the product, company and culture.

"
https://startup.jobs/senior-full-stack-engineer-vannevar-labs-4532588,"Full Stack,Senior",Senior Full Stack Engineer,Vannevar Labs ,,Full-Time,"

Vannevar Labs builds next generation defense software for the public servants keeping our country safe.  As a team, we exist because we believe in public service, and we think that our democracy and government improve only if we put serious, collective effort into improving them, including the technology our government uses.   

This mission has become urgent. Ukraine is engaged in a war for survival with Russia. China regularly flies nuclear-capable bombers into Taiwan and Japans airspace. The US and our allies are fighting a war of deterrence with woefully outdated technology.  

We build software to support these missions, including providing battlefield information to allies, identifying malign activity, and helping the US deter and deescalate conflict.  

We are a profitable growth startup with some of the best defense investors in the world, including General Catalyst, DFJ Growth, Point72, and enterprise tech investors Costanoa and Felicis. 

In this role, you will build software to turn text data into usable narratives and workflows. You will work with designers, product managers, and members of the government and military to understand customer problems and ideate solutions. In one week, you may work on a data ingestion endpoint NodeJS, Postgres, client-facing API GraphQL, and data visualization UI React to enable a user workflow. Security clearance and previous defense experience are NOT required, in fact expertise you may bring from consumer tech, media, or marketing will be a great asset.

You may be a good fit for this role if you value


Beauty. You believe that beauty and craftsmanship matter, in design and in code.

Simplicity. You believe that simplicity is the ultimate sophistication, and that simple systems are easier to understand, maintain, and scale.

Speed. You do things fast and you do them well. You understand that the ability to build and iterate quickly is a competitive advantage.

Qualifications must-haves


4 years as a Full Stack Developer or similar role
Experience with the full stack JavaScript ecosystem - React, Typescript, and NodeJS
Experience with Postgres or similar
Experience building and owning features end-to-end
Excellent communication and teamwork skills
U.S. Persons is required as this position will require the ability to access U.S. only data systems and export controlled data.


Qualifications nice-to-haves


ElasticSearch
GraphQL
d3
Experience with UIUX design
Experience with AWS or similar
Docker

Salary Range
Salary range for this role is 135,000- 205,000 within the range, individual pay is determined by experience, relevant education, andor training


What We Offer
401k Match
Equity
Health, dental, and vision insurance
Open PTO
Flexible work environment - you manage your workday
100 remote - work from anywhere in the US
Mental health benefits
Pet care reimbursement during travel

Vannevar Labs is an equal opportunity employer, and qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status.

We encourage candidates from all backgrounds to apply, even if you dont feel like youre a perfect fit. If youre passionate about contributing to our mission, wed love to hear from you!

"
https://startup.jobs/full-stack-engineer-content-integrity-spotify-4556388,Engineer,Full-Stack Engineer - Content Integrity,Spotify ,"London, United Kingdom",Full-Time,"

Delivering the best Spotify experience possible. To as many people as possible. In as many moments as possible. Thats what the Experience team is all about. We use our deep understanding of consumer expectations to enrich the lives of millions of our users all over the world, bringing the music and audio they love to the devices, apps and platforms they use every day. Know what our users want? Join us and help Spotify give it to them. 

Spotify is now looking for a Full-Stack Engineer to join our Content Integrity team. This team builds systems that ensure the material on Spotify is legal and meets the standards weve laid out as a company. Our team provides the foundational capabilities that allow the business to support new features and content experiences while keeping our users safe, intellectual property protected, and our products compliant. Within this org, the Content Review Tooling team ensures that content is available and reviewable to our operator teams so that they can investigate and make decisions effectively.
Were looking for a person that has experience with working with stakeholders and translating business needs into technical deliverables. We expect engineers to research, find and propose solutions that solve the problems, not write software only. Come join the band!
What Youll Do

Design and develop high quality services that are testable and maintainable.
Develop our tooling web application to deliver new features that are aligned with designs from our UX designer.
Design and develop backend systems and work with other teams to integrate with their APIs.
Build and operate infrastructure, toolset and deployment pipelines with a focus on service and web application availability and scalability.
Collaborate closely with Engineering Managers, Software Engineers, Product Managers and Designers within and beyond your team.
Take operational responsibility for the services that are owned by your team, including taking part in an on-call rotation.
Work in a transparent environment that supports your individual growth.

Who You Are

Experience with modern web development with React and related technologies in this ecosystem; TypeScript, JavaScript, webpack etc, as well as designing and developing backend applications in Java.
Comfortable working closely with a UX designer to help bring their designs to life through your code.
Experience with relational databases such as PostgreSQL and are proficient in SQL.
Experience with cloud platforms such as AWS or GCP and are comfortable working in these environments.
Experience in relevant data communication strategies such as HTTP REST, gRPC and message queues.
Excellent analytical and problem-solving skills, and can communicate your ideas clearly.
Excellent communicator in spoken and written English.

Where Youll Be
This role will be based out of London, United Kingdom.

Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.



"
https://startup.jobs/full-stack-engineer-nahc-limited-4555961,"Engineer,Full Stack",Full Stack Engineer,NAHC Limited ,,Full-Time,"

Our client is looking for Software Engineers passionate about building a better decentralized future. You will be responsible for executing full lifecycle software development programming well-designed, testable, efficient code as well as producing specifications and determining operational feasibility for our software application. The ideal candidate will be able to to build high-quality, innovative and fully performing software that complies with coding standards and technical design. 
What You Will Do

Write well-designed, robust, testable code and implement web application development 
Develop web applications  mobile-based features 
Perform integration of the frontend applications 
Responsible for optimizing and implementing the web applications and initiatives 
Be innovative and give ideas to growth hack the business metrics  

What You Will Need

Proficient in JavascriptTypescript and React JSReact Native Next.JS 
Solid project experience in mobile web development 
Great team player, independent, strong sense of responsibility and self-motivated



"
https://startup.jobs/full-stack-developer-javacscript-react-nahc-limited-4555960,"Developer,Full Stack,React",Full Stack Developer (Javacscript/ React),NAHC Limited ,,Full-Time,"

Our client is an all-in-one communications platform specialized in both B2C and B2B markets; transforms disorganized message inboxes into an virtual folder. They are seeking a skilled software engineer to join their expanding team. As a Software Engineer, you will be working closely with their team in HK and Silicon Valley to develop high-quality application that is user-friendly and covering different markets.
What You Will Do

Design and develop mobile architecture that meet business requirements 
Collaborate with cross-functional teams to identify software features and ensure the sharing of accurate information 
Assist in rapid scaling of product and team by participating in optimization of tooling and engineering processes 
Stay up-to-date with emerging trends and technologies in software development


What You Will Need

Strong hands-on experience in software development using React Native React framework 
Good experience in REST API backend development 
Knowledge in native development is a plus 
With a product-first approach; enjoys taking ownership of projects from design to large-scale roll-out



"
https://startup.jobs/full-stack-web-engineer-tooling-integrations-labs-spotify-4555662,"Engineer,Full Stack","Full Stack Web Engineer - Tooling, Integrations, & Labs",Spotify ,"New York, United States",Full-Time,"

Sell what you love. For us and millions of users across the globe, thats Spotify. Join the Sales team and youll build the relationships that help grow our business in existing markets and beyond. We dont just sell creative solutions to our clients and partners, we help to shape them; using our expert knowledge of ad products, sales channels and the industry to impact the way the world experiences music and podcasts. 

The TIL product area Tooling, Integrations,  Labs forms the product and engineering resources for Spotifys Advertising Business Development team and is focused on developing and innovating on strategic partner integrations and partner enabled advertising products.

We are looking for a Full Stack Web Engineer to join our fast-moving, innovative team. You will be tackling challenging problems while collaborating across teams to develop innovative, reliable, secure, and scalable solutions. You will build and support web applications and properties, working primarily in Web and Backend environments. Working closely with the Product, Technical Operations and Business Development teams, you will understand the technical requirements of modern web applications to implement whatever solutions are necessary. As part of this, you will be expected to contribute to providing documentation for the web properties, services and features we work on, and thus are expected to have excellent written communication skills.

We want someone who is passionate about the Spotify platform and is excited about building new things. We value a person who thinks outside the box, can drive their own learning, and is always open to growing their own knowledge and skill set. 
What youll do

Build and maintain web applications, sites, and tooling
Innovate and hack on new ideas that will craft the future product roadmap for the web properties we own, participating in code reviews, system designs, and team building activities
Write thorough documentation for new projects or systems that you have worked on
Initiate, influence, and drive technical projects
Eliminate security risks by making sure our products meet internal and external standards
Improve, scale, and standardize partner-enabled web architecture across the organization

Who you are

You have 3 years of experience from relevant domains 
You have a quality-focused approach and are interested in all parts of software development ideation, coding, testing, deployment, monitoring, experimentation, and iteration
You are a collaborative and team-first player who sees the value in pairing and mobbing as well as working independently
Proven experience in building web applications, both frontend and backend, with a solid understanding of design patterns and design principles
You have experience in backend development and are comfortable designing and building distributed and scalable systems
You have hands-on experience with programming languages like Node.JS, JavaScriptTypeScript and Java, and ideally have exposure to Google Cloud Platform products like KubernetesGKE, BigQuery, Cloud Storage, and Cloud Datastore.
You have experience with a variety of APIs, especially REST and gRPC
You are comfortable working across several concurrent projects while having full accountability for one or more of them

Where youll be

We are a distributed workforce enabling our band members to find a work mode that is best for them.
Where in the world? For this role, it can be within North America, and we operate within Eastern time zone hours.
Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here.


The United States base range for this position is 122,308 to 175,308, plus equity. The benefits available for this position include health insurance, six months of paid parental leave, 401k retirement plan, monthly meal allowance, 23 paid days off, and 13 paid flexible holidays, paid sick leave. These ranges may be modified in the future. 

Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.



"
https://startup.jobs/full-stack-developer-tax-analysts-4554876,"Developer,Full Stack",Full Stack Developer,Tax Analysts ,"Falls Church, United States",Full-Time,"

Tax Analysts, publisher of Tax Notes, is the leading global publisher and essential source of news and analysis for over 150,000 tax professionals, with correspondents in more than 125 countries. and close to 200 local talented professionals. Our Culture and Values encompass transparency and passion around cultivating an environment that embraces collaboration and innovation. Tax Analysts offers a hybrid work environment, worklife balance, competitive compensation, and a generous benefits package. Please visit our amazing websites www.taxnotes.com, LinkedIn Company page and our Top Workplace page.

SUMMARY Be an important member of a highly collaborative agile team creating innovative content delivery solutions in an AWS-hosted environment. Your expertise and passion will augment a diverse and highly skilled team to wow our staff and clients. Join us as we take on diverse projects encompassing the whole tech stack, from infrastructure and data management, to UX and contentdata delivery. You will have the chance to explore technologies and share your intelligence and wisdom to ensure that we deliver quality in a constantly evolving industry.
 RESPONSIBILITIES include the following. Other duties may be assigned to meet the departments objectives.   Develop full-stack application components using React, NodeJS, HTML, CSS, JavaScript, database, and other technologies. Help shape and translate project requirements into sustainable applications.  Design new applications and API-based services using an AWS-hosted microservice architecture. Effectively diagnose issues and design and implement effective solutions  Use UIUX best practices to develop visually appealing internal and consumer-facing applications. Incorporate appropriate database technologies in development efforts. Follow Tax Analysts CICD guidelines for all phases of development. Write, update, and maintain development documentation and well-written code. Perform other information technology duties as assigned.   
KNOWLEDGE  SKILLS   Strong understanding of programming principles. Software architecture, design and development best practices Experience working in an AWS-hosted environment. Solid understanding of CICD principles and application  Understand search technologies such as ElasticSearch Working knowledge of AI and machine learning is a plus Embraces change, willing to learn and cross-technology stacks Ability to present ideas in business and user-friendly language. Highly motivated, good attention to detail, and able to follow through on tasks. Experience working in a team-oriented, cross-functional, collaborative environment to plan, design, develop and implement new and enhanced functionalities. Volunteers to try new tasks and is a positive thinker. 
Requirements
 BABS in Computer Science or Software Engineering. Four years of related work experience may be substituted for the degree requirement. 3  years of software development experience. 2  years of web development in multi-tiered applications. 2 years of HTML5, CSS3, and JavaScript experience. 1 years of working experience as a development team member in a rapid product and software development environment using AgileSCRUM. 

PHYSICAL DEMANDS AND WORK ENVIRONMENT The characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions. Frequently required to sit for prolonged periods, talk and hear; use hands to type, file, handle or feel; reach with arms. Have visual acuity to use a computer and keyboard, prepare and analyze data and figures, read extensively. Occasionally required to stand, walk and lift up to 20 pounds. Requires ordinary ambulatory skills sufficient to visit other locations. Work is performed in a temperature-controlled office environment.
Benefits
HealthDentalVision
401K Immediately vested
Tuition assistance
Qualified employer under the Public Service Loan Forgiveness program PFSL
Generous Paid Time Off
Dog-friendly office
Private gym onsite

"
https://startup.jobs/full-stack-web-developer-startree-4554553,"Developer,Full Stack",Full Stack Web Developer,StarTree ,,,"


At StarTree were a group of passionate individuals that desire to improve the lives of many by developing tools and technologies that support availability and speed in the world of real-time analytics. 
Our aim is to make it simple for every company to delight their users - external and internal - and create new revenue streams from their data, by building the worlds most comprehensive and accessible cloud analytics system.

About the Role
The Developer Relations team is responsible for making Apache Pinot and related technologies famous. A big part of this is making sure that users have the content that they require. We serve this content through the dev.startree.ai website. 
At the moment its mostly used as a place to host documentation, but the intention is to evolve it to become a one stop shop for engineers building Real-Time Analytics applications. We plan to build an interactive playground, video hub, and any other cool things that we can think of.
And thats where you come in!
 
Responsibilities

Maintain dev.startree.ai, turning Figma designs into production reality by implementing them in a static website framework and pushing them to production
Design, implement, and deploy site features that require a combination of front-end and back-end functionality
Define release processes that ensure new functionality is deployed rapidly and without regressions
Work with stakeholders including the VP of Developer Relations and other DevRel leads to scope new features and tasks
Collaborate cross-functionally with marketing and other stakeholders

 
Requirements

At least three years of experience as a full-stack web developer
Significant front-end experience with React, Next.js, JavaScript, TypeScript, HTML, CSS
Successful track record with responsive web design
Knowledge of the currently relevant CSS and JavaScript frameworks 
Significant back-end experience with JavaScript, TypeScript, and Node.js or Python and Flask
Experience with JavaScript build systems and CICD, particularly modern static site deployment methods
Experience integrating a headless CMS with Next.js e.g., Dato, Contentful, etc.
Personal interest in staying up to date on the latest trends, including emerging tools and practices in the web development community
Ability to work remotely in a fast-paced, fast-growth environment

 

About StarTree  
StarTree is a cloud-based software company that enables business customers to derive advanced insights from real-time and historical data. StarTree was founded by the core software engineering team and inventors of Apache Pinot, which currently powers hundreds of user-facing applications at companies across industries, including LinkedIn, Uber, Target, 7Eleven, Etsy, Walmart, WePay, Factual, Weibo, and more. StarTree Cloud has enabled even more companies to deploy and operate real-time analytics at scale, including Stripe, Sovrn, Roadie, Just Eat Takeaway.com, Dialpad, Guitar Center, Blinkit, and more.
StarTree recently announced our Series B Funding with investment from GGV Capital, Sapphire Ventures, Bain Capital Ventures, and CRV. We have been named one of The Informations 50 Most Promising Startups and one of CRNs 10 Coolest Cloud Computing Startup Companies of 2022!


"
https://startup.jobs/full-stack-software-developer-aparavi-4553647,Developer,Full-Stack Software Developer,Aparavi ,"Santa Monica, United States",,"

Join us and become our next Aparavian!

Aparavi is headquartered in Santa Monica, California with team members across the globe.  We are expanding and looking for people who want to build the best product in the business, never stop learning, pay attention to detail, do the right thing no matter who is looking, and have a positive impact on the world by providing TRUE data intelligence and automation technology. This is a rare opportunity to contribute across the entire Aparavi Platform with this new web application and its modern architecture!

JOB SUMMARY 
As a full-stack software developer you will own features, defect fixes, and other project deliverables. Breaks larger requests into subtasks and communicates effectively about their completion progress. Can identify blocking issues and collaborate with others to help unblock those issues. Takes operational responsibility. Reviews code changes.
ROLE AND RESPONSIBILITIES  


Design, write and submit scalable, maintainable software.  


Follow and maintain a high technical bar.  


Proactively and continuously expand experience and proficiency in code base, with solid understanding of relevant areas.  


Scope and implement small to medium features with little to no guidance.   


Understand code complexity; provide relatively accurate estimates based on complexity assessments.  


Provide helpful, timely code reviews.  


Write engineering review proposals and contribute to technical design; ability to think through problems and failure scenarios in use cases.  


Understand how code fits into broader technical context.  


Debug effectively within their primary area to find the root cause and fix.  


Work as an agile member of a combined development and test team, running in short cycles to develop functional software in quick iterations.  


Actively participate in agile ceremonies, providing accurate and timely feedback regarding both the process and the product.  


Participate in on-call rotation, as applicable to their domain.  

Perform other related duties as assigned. 

 QUALIFICATIONS  EDUCATIONCERTIFICATION REQUIREMENTS  


Bachelor of Computer Science or related field. 


3 years working experience with Node.js 


3 years working experience with React.js 


3 years working experience with MySQLPostgreSQL 


WHAT DO YOU GET?


Competitive Salary 115,000. to 135,000. USD

Opportunity to drive innovation within an industry that hasnt changed in 30 years 
Hybrid Position Work Monday  Friday from home
Flex-Time Off Unlimited Vacation
Generous Company Paid Premium Contribution Medical, Dental, Vision insurance
and more....


"
